global timestep: 610612, episodic_reward: [-1.705781]
global timestep: 610724, episodic_reward: [-1.8075608]
global timestep: 611128, episodic_reward: [-1.876246]
global timestep: 611304, episodic_reward: [-1.730865]
global timestep: 611424, episodic_reward: [-0.8646136]
global timestep: 611712, episodic_reward: [-0.7237333]
global timestep: 611792, episodic_reward: [-1.5913123]
global timestep: 611828, episodic_reward: [-1.6178386]
global timestep: 611908, episodic_reward: [-1.1832982]
global timestep: 612032, episodic_reward: [-0.8495739]
global timestep: 612116, episodic_reward: [-1.8922311]
global timestep: 612320, episodic_reward: [-1.1887599]
global timestep: 612436, episodic_reward: [-1.9714996]
global timestep: 612968, episodic_reward: [-1.9188527]
global timestep: 613028, episodic_reward: [-0.11895049]
global timestep: 613184, episodic_reward: [-0.45132166]
global timestep: 613292, episodic_reward: [-0.90111375]
global timestep: 613388, episodic_reward: [-1.4647081]
global timestep: 613512, episodic_reward: [-1.8905977]
global timestep: 613756, episodic_reward: [-2.24785]
global timestep: 613804, episodic_reward: [-0.4407897]
global timestep: 613880, episodic_reward: [-0.2574411]
global timestep: 614152, episodic_reward: [-1.875497]
global timestep: 614160, episodic_reward: [-0.6232544]
global timestep: 614292, episodic_reward: [-0.03200912]
global timestep: 614456, episodic_reward: [-1.6268862]
global timestep: 614460, episodic_reward: [-2.0733907]
global timestep: 614660, episodic_reward: [-1.252074]
global timestep: 614768, episodic_reward: [-1.6107434]
global timestep: 615160, episodic_reward: [-1.6999228]
global timestep: 615172, episodic_reward: [-1.8083656]
global timestep: 615364, episodic_reward: [-1.5175778]
global timestep: 615464, episodic_reward: [-1.5683281]
global timestep: 615576, episodic_reward: [-0.51166236]
global timestep: 615680, episodic_reward: [-1.8395975]
global timestep: 615748, episodic_reward: [-1.6254884]
global timestep: 615784, episodic_reward: [-0.7124784]
global timestep: 616168, episodic_reward: [-1.7143167]
global timestep: 616772, episodic_reward: [-1.2695066]
global timestep: 616788, episodic_reward: [-2.136384]
global timestep: 617180, episodic_reward: [-0.79519874]
global timestep: 617292, episodic_reward: [-1.9923148]
global timestep: 617472, episodic_reward: [-1.795826]
global timestep: 617512, episodic_reward: [-1.9204341]
global timestep: 617656, episodic_reward: [1.1045744]
global timestep: 617716, episodic_reward: [-1.0344702]
global timestep: 617916, episodic_reward: [-0.2461114]
global timestep: 618384, episodic_reward: [-0.8062966]
global timestep: 618400, episodic_reward: [-1.3363352]
global timestep: 618420, episodic_reward: [-0.87132454]
global timestep: 618788, episodic_reward: [-1.6809342]
global timestep: 618944, episodic_reward: [-0.3931378]
global timestep: 619000, episodic_reward: [-1.6735358]
global timestep: 619396, episodic_reward: [-1.2373738]
global timestep: 619488, episodic_reward: [0.29410297]
global timestep: 619564, episodic_reward: [-0.16692612]
global timestep: 619612, episodic_reward: [-1.6520087]
global timestep: 619828, episodic_reward: [-0.46370572]
global timestep: 619884, episodic_reward: [-2.062482]
global timestep: 620108, episodic_reward: [-0.28201687]
global timestep: 620200, episodic_reward: [-1.0082855]
global timestep: 620332, episodic_reward: [-0.3019424]
global timestep: 620736, episodic_reward: [-0.3452952]
global timestep: 621100, episodic_reward: [-2.2583606]
global timestep: 621384, episodic_reward: [-1.4291084]
global timestep: 621504, episodic_reward: [0.06654787]
global timestep: 621568, episodic_reward: [-0.23834197]
global timestep: 621624, episodic_reward: [-2.1768086]
global timestep: 621836, episodic_reward: [-1.5821519]
global timestep: 621908, episodic_reward: [-1.9130083]
global timestep: 622028, episodic_reward: [-1.317037]
global timestep: 622156, episodic_reward: [-2.2104683]
global timestep: 622240, episodic_reward: [-1.9963213]
global timestep: 622372, episodic_reward: [-0.44250143]
global timestep: 622540, episodic_reward: [0.6475577]
global timestep: 622588, episodic_reward: [-1.8033674]
global timestep: 622644, episodic_reward: [-1.8631532]
global timestep: 622848, episodic_reward: [-1.0846229]
global timestep: 623008, episodic_reward: [-1.9151129]
global timestep: 623344, episodic_reward: [-1.0801761]
global timestep: 623440, episodic_reward: [-1.9385272]
global timestep: 623532, episodic_reward: [-1.7680192]
global timestep: 624276, episodic_reward: [-1.1636592]
global timestep: 624304, episodic_reward: [-0.7412274]
global timestep: 624480, episodic_reward: [-1.0834621]
global timestep: 624636, episodic_reward: [-0.91464424]
global timestep: 624684, episodic_reward: [-0.89356416]
global timestep: 624824, episodic_reward: [-0.24346662]
global timestep: 625100, episodic_reward: [-1.9822526]
global timestep: 625232, episodic_reward: [-0.94440746]
global timestep: 625456, episodic_reward: [-1.9234028]
global timestep: 625604, episodic_reward: [-2.3067505]
global timestep: 625696, episodic_reward: [-1.9488852]
global timestep: 625736, episodic_reward: [-0.23779619]
global timestep: 625860, episodic_reward: [-0.18791397]
global timestep: 626080, episodic_reward: [-1.0803201]
global timestep: 626092, episodic_reward: [-1.853088]
global timestep: 626316, episodic_reward: [-2.2202547]
global timestep: 626580, episodic_reward: [-1.5381758]
global timestep: 626720, episodic_reward: [-0.32221165]
global timestep: 626904, episodic_reward: [-1.7891424]
global timestep: 627100, episodic_reward: [-1.955379]
global timestep: 627124, episodic_reward: [-0.36559975]
global timestep: 627336, episodic_reward: [-2.1027806]
global timestep: 627708, episodic_reward: [-1.2006974]
global timestep: 627708, episodic_reward: [1.7146711]
global timestep: 627740, episodic_reward: [-1.9988381]
global timestep: 627860, episodic_reward: [-1.0474237]
global timestep: 628112, episodic_reward: [-0.2200609]
global timestep: 628264, episodic_reward: [-1.9183024]
global timestep: 628348, episodic_reward: [-2.1124625]
global timestep: 628712, episodic_reward: [-1.0984567]
global timestep: 628728, episodic_reward: [-1.9048375]
global timestep: 628808, episodic_reward: [-1.706493]
global timestep: 628812, episodic_reward: [-0.8977464]
global timestep: 629052, episodic_reward: [-2.1793625]
global timestep: 629132, episodic_reward: [-1.6814492]
global timestep: 629200, episodic_reward: [-1.6555948]
global timestep: 629292, episodic_reward: [-1.2328689]
