global timestep: 2453168, episodic_reward: [-0.05053663]
global timestep: 2453316, episodic_reward: [-0.7248891]
global timestep: 2453916, episodic_reward: [0.5341834]
global timestep: 2453976, episodic_reward: [-0.5158981]
global timestep: 2455496, episodic_reward: [1.9786824]
global timestep: 2455824, episodic_reward: [-0.7241078]
global timestep: 2455848, episodic_reward: [1.9725721]
global timestep: 2456228, episodic_reward: [-1.0563278]
global timestep: 2456284, episodic_reward: [1.3274206]
global timestep: 2456348, episodic_reward: [3.7204537]
global timestep: 2456632, episodic_reward: [-1.0346006]
global timestep: 2456812, episodic_reward: [-0.5946791]
global timestep: 2456828, episodic_reward: [-1.4727643]
global timestep: 2457704, episodic_reward: [0.2848432]
global timestep: 2457740, episodic_reward: [0.2413376]
global timestep: 2457760, episodic_reward: [0.93001914]
global timestep: 2458644, episodic_reward: [-1.2986699]
global timestep: 2459408, episodic_reward: [-0.6470719]
global timestep: 2459748, episodic_reward: [-0.21743917]
global timestep: 2459828, episodic_reward: [1.1884366]
global timestep: 2460916, episodic_reward: [0.16576862]
global timestep: 2461040, episodic_reward: [2.0415936]
global timestep: 2461120, episodic_reward: [-1.0406773]
global timestep: 2461172, episodic_reward: [-0.2882328]
global timestep: 2461324, episodic_reward: [-0.9482474]
global timestep: 2461388, episodic_reward: [-0.43493173]
global timestep: 2461528, episodic_reward: [-0.20951033]
global timestep: 2462316, episodic_reward: [0.90430516]
global timestep: 2462468, episodic_reward: [-1.3785976]
global timestep: 2462612, episodic_reward: [1.2094635]
global timestep: 2462836, episodic_reward: [-1.1131709]
global timestep: 2463296, episodic_reward: [-0.22351092]
global timestep: 2463336, episodic_reward: [-2.2633953]
global timestep: 2464124, episodic_reward: [0.15918994]
global timestep: 2464356, episodic_reward: [-0.31022513]
global timestep: 2464568, episodic_reward: [-0.34374273]
global timestep: 2464760, episodic_reward: [-0.34501338]
global timestep: 2465128, episodic_reward: [-1.4078788]
global timestep: 2465144, episodic_reward: [-0.90057415]
global timestep: 2465420, episodic_reward: [-1.7004968]
global timestep: 2465512, episodic_reward: [-0.49426353]
global timestep: 2465632, episodic_reward: [-0.65057033]
global timestep: 2465820, episodic_reward: [0.29306126]
global timestep: 2465844, episodic_reward: [-1.6978757]
global timestep: 2465852, episodic_reward: [-0.4285633]
global timestep: 2466116, episodic_reward: [-1.0190653]
global timestep: 2466128, episodic_reward: [-1.0484402]
global timestep: 2466344, episodic_reward: [-1.2208138]
global timestep: 2466364, episodic_reward: [-1.7021903]
global timestep: 2466768, episodic_reward: [-0.18962887]
global timestep: 2466828, episodic_reward: [-2.1812036]
global timestep: 2466868, episodic_reward: [-2.1754923]
global timestep: 2467916, episodic_reward: [-0.5331336]
global timestep: 2467988, episodic_reward: [1.011162]
global timestep: 2468016, episodic_reward: [1.015315]
global timestep: 2468416, episodic_reward: [-1.8709728]
global timestep: 2468660, episodic_reward: [-0.10579121]
global timestep: 2468724, episodic_reward: [-0.9697951]
global timestep: 2468772, episodic_reward: [-1.1403788]
global timestep: 2469048, episodic_reward: [-1.518913]
global timestep: 2469136, episodic_reward: [-1.3740281]
global timestep: 2469252, episodic_reward: [-1.1647104]
global timestep: 2469448, episodic_reward: [-1.5044786]
global timestep: 2469588, episodic_reward: [-1.3628327]
global timestep: 2470096, episodic_reward: [-0.97455394]
global timestep: 2470608, episodic_reward: [-0.04745913]
global timestep: 2470720, episodic_reward: [0.12404078]
global timestep: 2470924, episodic_reward: [2.142662]
global timestep: 2471280, episodic_reward: [-1.2516823]
global timestep: 2471520, episodic_reward: [-0.99402285]
global timestep: 2471628, episodic_reward: [2.743562]
